,Name,price,category,source
67,Crucial RAM 32GB Kit (2x16GB) DDR5 4800MHz CL40 Desktop Memory CT2K16G48C40U5,22492.0,ram,amazon
68,Crucial RAM 8GB DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Laptop Memory CT8G4SFRA32A,1730.0,ram,amazon
69,XPG ADATA GAMMIX D30 DDR4 8GB (1x8GB) 3200MHz U-DIMM Desktop Memory - AX4U32008G16A-SR30,2061.0,ram,amazon
70,Corsair Vengeance LPX 8GB (1x8GB) DDR4 3200MHZ C16 Desktop RAM (Black),2429.0,ram,amazon
71,Crucial RAM 8GB DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Desktop Memory CT8G4DFRA32A,1706.0,ram,amazon
72,ADATA XPG GAMMIX D30 8GB (1 * 8 GB) DDR4 3200 MHz CL 19-19-19 at 1.2V Desktop Memory RAM - AX4U32008G16A-SR30,2073.0,ram,amazon
73,Crucial RAM 8GB DDR4 2666 MHz CL19 Laptop Memory CT8G4SFRA266,1627.0,ram,amazon
74,G.Skill Ripjaws V 16GB (1*16GB) DDR4 3600 MHz Desktop Memory RAM - F4-3600C18S-16GVK,4327.0,ram,amazon
75,G.SKILL Ripjaws V 16GB (1 * 16GB) DDR4 3200 MHz CL16-18-18-38 1.35V Desktop Memory RAM - F4-3200C16S-16GVK,3933.0,ram,amazon
76,"PNY XLR8 Heat Sink Gaming 8GB 3200MHz, Black, (MD8GD4320016XR)",3923.0,ram,amazon
77,ALKETRON - Quantum-Cache (Over Clocked - Extreme Gaming Memory) | 8GB-1866MHz-CL10 | DDR3 RAM | Long-DIMM (UDIMM) | PC3 -14900u | for Gaming and Desktop PC with 3 Year Warranty,1795.0,ram,amazon
78,G.SKILL Ripjaws SO-DIMM 8GB (1 * 8GB) DDR4 3200MHz CL22-22-22-52 1.20V Laptop Memory RAM - F4-3200C22S-8GRS,1978.0,ram,amazon
79,Simmtronics 4GB DDR3 Desktop RAM 1333 MHz (PC 10600) with 3 Year Warranty,799.0,ram,amazon
80,"DAICHI 8GB DDR3 RAM (Memory) 1600MHz | CL11 | Long-DIMM (UDIMM) | DI8GD3 DT PC3-12800 | for Standard & Gaming Desktop PC (H55, H81 , H61 Motherboards)- with 5 Years Warranty",1200.0,ram,amazon
81,A-DATA 8GB DDR4 modules for notebooks 3200MHZ Laptop Memory (AD4S320038G22-RGN),1875.0,ram,amazon
82,"Consistent 8GB DDR3 Desktop RAM,1600MHz",1170.0,ram,amazon
83,Crucial RAM 16GB DDR4 3200 MHz CL22 Laptop Memory CT16G4SFRA32A,3449.0,ram,amazon
84,G.SKILL Trident Z RGB 16GB (2*8GB) 3200 Mhz DDR4 Desktop Memory RAM - F4-3200C16D-16GTZR,7360.0,ram,amazon
85,Samsung original 8GB 1 x 8GB 204-pin SODIMM DDR3 PC3L-12800 1600MHz ram memory module for laptops,1899.0,ram,amazon
86,Patriot Signature Series 16GB (1 x 16GB) DDR5 5200MHz CL 42 Gaming Desktop Memory RAM (PSD516G520081),5999.0,ram,amazon
87,ALKETRON – 8GB DDR4 3200MHz RAM (Memory) - Dual Channel UDIMM (SDRAM) PC4-25600 for Desktop PC - with 3 Year Warranty (1 Unit * 8GB-3200MHz),1895.0,ram,amazon
